sep=;
hour;passengerId;arrivalFloor;destinationFloor;
00:00:12:;0;0;5;
00:06:35:;1;0;8;
00:08:44:;2;0;1;
00:09:33:;3;0;7;
00:11:51:;4;0;2;
00:18:14:;5;0;5;
00:23:33:;6;0;4;
00:26:53:;7;0;7;
00:35:50:;8;0;4;
00:36:50:;9;0;9;
00:46:07:;10;0;8;
00:48:39:;11;6;0;
00:54:50:;12;0;5;
01:03:31:;13;0;9;
01:21:34:;14;8;0;
01:29:21:;15;0;9;
02:28:28:;16;4;0;
03:52:24:;17;4;0;
04:10:27:;18;6;0;
04:26:24:;19;4;0;
04:35:17:;20;7;0;
04:37:35:;21;3;0;
04:43:38:;22;6;0;
04:48:56:;23;1;5;
04:52:05:;24;4;0;
04:57:03:;25;5;0;
05:00:33:;26;4;0;
05:01:02:;27;3;0;
05:02:01:;28;1;9;
05:02:54:;29;6;0;
05:05:07:;30;0;9;
05:05:34:;31;7;0;
05:08:52:;32;7;5;
05:10:51:;33;8;0;
05:11:56:;34;4;0;
05:13:38:;35;4;0;
05:14:37:;36;3;0;
05:15:06:;37;4;0;
05:15:30:;38;6;0;
05:16:19:;39;2;0;
05:16:29:;40;9;0;
05:20:19:;41;7;0;
05:20:37:;42;2;0;
05:24:35:;43;7;0;
05:25:12:;44;7;0;
05:25:24:;45;8;0;
05:30:44:;46;7;0;
05:33:15:;47;1;0;
05:35:11:;48;4;0;
05:36:08:;49;1;0;
05:38:55:;50;6;0;
05:39:27:;51;3;0;
05:41:35:;52;1;0;
05:46:54:;53;2;0;
05:47:34:;54;9;0;
05:49:27:;55;7;0;
05:50:29:;56;7;0;
05:51:12:;57;8;0;
05:51:14:;58;6;0;
05:51:28:;59;5;0;
05:51:56:;60;4;0;
05:52:16:;61;8;0;
05:55:59:;62;2;9;
05:57:00:;63;9;0;
05:58:55:;64;7;0;
05:59:01:;65;3;0;
05:59:48:;66;8;0;
06:00:47:;67;3;0;
06:01:54:;68;1;0;
06:01:55:;69;5;0;
06:02:42:;70;4;0;
06:05:12:;71;4;0;
06:05:59:;72;7;0;
06:06:24:;73;6;0;
06:07:07:;74;6;0;
06:07:26:;75;3;0;
06:09:41:;76;4;0;
06:11:29:;77;8;0;
06:12:12:;78;4;0;
06:13:50:;79;4;0;
06:14:34:;80;7;0;
06:18:17:;81;0;2;
06:18:31:;82;0;2;
06:19:14:;83;9;0;
06:19:21:;84;4;0;
06:20:09:;85;9;5;
06:20:16:;86;1;0;
06:20:50:;87;2;0;
06:20:58:;88;9;0;
06:21:04:;89;4;0;
06:21:40:;90;4;0;
06:21:48:;91;1;0;
06:23:42:;92;8;0;
06:24:19:;93;9;0;
06:24:40:;94;7;0;
06:24:45:;95;6;0;
06:25:48:;96;0;5;
06:25:56:;97;5;0;
06:26:31:;98;7;0;
06:26:35:;99;1;0;
06:26:36:;100;4;0;
06:27:26:;101;5;0;
06:27:40:;102;3;0;
06:28:18:;103;1;0;
06:29:08:;104;2;0;
06:29:11:;105;5;0;
06:29:44:;106;4;0;
06:30:09:;107;1;0;
06:31:09:;108;8;0;
06:31:20:;109;2;0;
06:31:27:;110;9;0;
06:31:52:;111;3;0;
06:32:09:;112;8;0;
06:32:56:;113;3;0;
06:33:40:;114;6;0;
06:33:52:;115;0;5;
06:34:12:;116;7;0;
06:34:30:;117;6;0;
06:35:28:;118;6;0;
06:36:25:;119;4;0;
06:36:52:;120;3;0;
06:37:21:;121;9;0;
06:37:23:;122;7;0;
06:38:09:;123;1;0;
06:38:18:;124;2;0;
06:39:27:;125;7;0;
06:39:40:;126;2;0;
06:40:09:;127;5;0;
06:40:55:;128;6;0;
06:41:03:;129;7;0;
06:41:16:;130;5;0;
06:41:26:;131;8;0;
06:42:05:;132;9;0;
06:42:19:;133;6;0;
06:42:25:;134;5;0;
06:42:50:;135;6;0;
06:42:55:;136;6;0;
06:43:29:;137;6;0;
06:43:42:;138;1;0;
06:43:52:;139;3;0;
06:44:08:;140;8;0;
06:45:08:;141;5;0;
06:45:14:;142;3;0;
06:47:34:;143;4;0;
06:48:05:;144;6;0;
06:48:29:;145;7;0;
06:48:38:;146;5;0;
06:48:42:;147;1;0;
06:48:49:;148;4;0;
06:48:57:;149;1;0;
06:49:55:;150;1;0;
06:50:37:;151;8;0;
06:51:11:;152;5;0;
06:51:19:;153;4;0;
06:51:26:;154;6;0;
06:52:12:;155;5;0;
06:52:18:;156;1;0;
06:52:26:;157;7;0;
06:52:42:;158;9;0;
06:53:12:;159;2;0;
06:53:13:;160;8;0;
06:54:00:;161;2;0;
06:54:28:;162;6;0;
06:55:16:;163;6;0;
06:55:38:;164;3;0;
06:55:59:;165;9;0;
06:56:05:;166;3;2;
06:56:36:;167;0;6;
06:56:47:;168;5;0;
06:56:53:;169;8;0;
06:57:24:;170;4;0;
06:58:21:;171;6;0;
07:00:29:;172;3;0;
07:00:29:;173;8;0;
07:00:45:;174;6;0;
07:00:54:;175;7;0;
07:01:01:;176;4;0;
07:02:07:;177;8;0;
07:02:34:;178;2;0;
07:02:37:;179;5;0;
07:02:39:;180;4;0;
07:02:46:;181;6;0;
07:02:51:;182;2;0;
07:03:04:;183;9;0;
07:03:24:;184;1;0;
07:03:49:;185;8;0;
07:04:13:;186;9;0;
07:05:12:;187;1;5;
07:05:20:;188;9;0;
07:05:55:;189;7;0;
07:06:34:;190;2;0;
07:06:34:;191;3;0;
07:06:53:;192;2;0;
07:07:12:;193;8;0;
07:07:14:;194;4;0;
07:07:20:;195;6;0;
07:07:31:;196;4;0;
07:07:55:;197;1;0;
07:08:00:;198;3;0;
07:08:19:;199;1;0;
07:08:23:;200;8;0;
07:08:32:;201;4;0;
07:08:42:;202;4;6;
07:09:07:;203;5;0;
07:09:13:;204;3;0;
07:09:56:;205;5;0;
07:11:14:;206;8;0;
07:11:29:;207;9;6;
07:11:36:;208;7;0;
07:12:28:;209;5;0;
07:13:47:;210;9;0;
07:13:57:;211;3;0;
07:14:49:;212;7;0;
07:15:16:;213;1;0;
07:15:43:;214;6;0;
07:15:43:;215;6;0;
07:15:48:;216;5;0;
07:16:19:;217;0;6;
07:16:20:;218;1;0;
07:16:20:;219;6;0;
07:16:28:;220;9;0;
07:16:33:;221;3;0;
07:16:42:;222;8;0;
07:16:58:;223;5;7;
07:17:27:;224;8;0;
07:17:28:;225;2;0;
07:17:46:;226;9;0;
07:17:46:;227;7;0;
07:17:55:;228;2;0;
07:17:59:;229;0;6;
07:18:30:;230;4;0;
07:18:46:;231;5;0;
07:18:47:;232;5;0;
07:19:33:;233;8;0;
07:21:23:;234;9;0;
07:22:17:;235;9;0;
07:23:06:;236;8;0;
07:24:22:;237;0;9;
07:24:46:;238;3;0;
07:25:38:;239;2;6;
07:25:57:;240;3;0;
07:26:05:;241;7;0;
07:26:05:;242;8;0;
07:26:14:;243;9;0;
07:26:15:;244;7;0;
07:27:04:;245;4;0;
07:27:35:;246;2;0;
07:27:51:;247;7;0;
07:28:08:;248;6;7;
07:28:12:;249;2;0;
07:28:31:;250;7;0;
07:28:44:;251;4;0;
07:28:51:;252;8;6;
07:29:14:;253;1;0;
07:30:04:;254;3;0;
07:30:16:;255;4;0;
07:31:00:;256;2;0;
07:31:04:;257;2;0;
07:31:08:;258;8;0;
07:31:08:;259;3;0;
07:31:32:;260;7;0;
07:31:46:;261;7;2;
07:31:51:;262;8;0;
07:32:35:;263;6;0;
07:32:39:;264;8;0;
07:33:10:;265;0;7;
07:33:58:;266;8;0;
07:34:10:;267;9;0;
07:34:25:;268;9;0;
07:34:32:;269;2;0;
07:34:41:;270;2;0;
07:35:05:;271;1;0;
07:35:18:;272;2;0;
07:35:23:;273;3;0;
07:35:33:;274;7;0;
07:35:36:;275;7;0;
07:36:12:;276;3;0;
07:36:23:;277;8;0;
07:36:54:;278;6;0;
07:37:06:;279;5;0;
07:37:09:;280;2;0;
07:37:39:;281;0;6;
07:37:48:;282;2;0;
07:37:55:;283;6;0;
07:38:13:;284;7;0;
07:38:30:;285;3;0;
07:38:32:;286;2;0;
07:39:06:;287;1;0;
07:39:07:;288;3;0;
07:39:10:;289;9;0;
07:39:39:;290;6;0;
07:40:09:;291;1;0;
07:40:16:;292;2;0;
07:40:22:;293;7;0;
07:40:50:;294;7;2;
07:40:52:;295;5;0;
07:41:46:;296;1;0;
07:41:47:;297;2;0;
07:41:48:;298;6;0;
07:41:58:;299;8;0;
07:42:24:;300;9;0;
07:42:59:;301;5;0;
07:43:13:;302;8;0;
07:43:16:;303;9;0;
07:43:52:;304;4;0;
07:44:47:;305;0;5;
07:44:49:;306;2;0;
07:45:20:;307;5;0;
07:45:30:;308;6;0;
07:45:55:;309;0;6;
07:46:05:;310;5;0;
07:46:13:;311;5;0;
07:46:20:;312;9;0;
07:46:24:;313;2;0;
07:46:45:;314;8;0;
07:47:38:;315;2;0;
07:47:44:;316;8;0;
07:48:00:;317;4;0;
07:48:17:;318;4;0;
07:48:25:;319;1;0;
07:48:28:;320;4;8;
07:48:46:;321;9;0;
07:49:19:;322;1;0;
07:49:20:;323;2;0;
07:49:21:;324;5;0;
07:49:50:;325;5;0;
07:50:16:;326;5;0;
07:50:25:;327;3;0;
07:50:52:;328;5;0;
07:51:27:;329;3;1;
07:51:45:;330;4;0;
07:52:04:;331;6;4;
07:52:34:;332;5;0;
07:53:17:;333;9;0;
07:53:21:;334;0;7;
07:53:21:;335;6;0;
07:53:22:;336;8;0;
07:53:31:;337;0;1;
07:53:44:;338;1;0;
07:53:49:;339;0;4;
07:54:13:;340;7;0;
07:54:13:;341;5;0;
07:54:46:;342;3;0;
07:54:47:;343;3;0;
07:55:07:;344;2;0;
07:55:14:;345;2;0;
07:56:58:;346;6;0;
07:57:09:;347;6;0;
07:57:37:;348;5;0;
07:57:51:;349;8;0;
07:58:10:;350;4;0;
07:58:11:;351;3;0;
07:58:41:;352;3;0;
07:58:46:;353;9;0;
07:58:55:;354;5;0;
07:59:00:;355;4;5;
07:59:10:;356;4;0;
07:59:19:;357;5;0;
07:59:36:;358;7;0;
08:00:00:;359;8;0;
08:00:26:;360;5;0;
08:00:45:;361;2;0;
08:00:56:;362;9;0;
08:00:59:;363;8;0;
08:01:02:;364;6;0;
08:01:05:;365;4;0;
08:01:14:;366;5;0;
08:01:44:;367;7;0;
08:03:09:;368;9;0;
08:03:37:;369;6;0;
08:03:37:;370;7;0;
08:04:32:;371;2;0;
08:04:32:;372;2;0;
08:04:33:;373;8;4;
08:05:28:;374;5;0;
08:05:29:;375;3;0;
08:05:36:;376;9;0;
08:05:47:;377;5;0;
08:05:51:;378;6;0;
08:06:52:;379;2;0;
08:07:12:;380;6;0;
08:07:28:;381;1;0;
